Tempo (s),DC Current (V),DC Current (A),Torque (Nm),Speed (rpm),Temp Mos 1 (ºC),Temp Mos 2 (ºC),Temp Motor (ºC),Temp do sensor capacitivo (ºC),Velocidade atual (km/h),km total,km atual,Driving Mode,Brake Switch,,Data (DD/MM/AA):,18,11,24,,Hora inicio:,,,Hora Fim:,
2.138,75.2,0,0,0,17,17,24,17,#N/A,#N/A,#N/A,#N/A,OFF,,,,,,,,,,,
2.388,75.2,0,0,0,17,17,24,17,0,0,0,Park,OFF,,,,,,,,,,,
2.638,75.2,0,0,0,17,17,24,17,0,0,0,Park,OFF,,,,,,,,,,,
2.888,75.2,0,0,0,17,17,24,17,0,0,0,Park,OFF,,,,,,,,,,,
3.138,75.2,0,0,0,17,17,24,17,0,0,0,Park,OFF,,,,,,,,,,,
3.388,75.2,0,0,0,17,17,24,17,0,0,0,Park,OFF,,,,,,,,,,,
3.638,75.2,0,0,0,17,17,24,17,0,0,0,Park,OFF,,,,,,,,,,,
3.888,75.2,0,0,0,17,17,24,17,0,0,0,Park,OFF,,,,,,,,,,,
4.138,75.2,0,0,0,17,17,24,17,0,0,0,Park,OFF,,,,,,,,,,,
4.388,75.2,0,0,0,17,17,24,17,0,0,0,Park,OFF,,,,,,,,,,,
4.638,75.2,0,0,0,17,17,24,17,0,0,0,Park,OFF,,,,,,,,,,,
4.888,75.2,0,0,0,17,17,24,17,0,0,0,Park,OFF,,,,,,,,,,,
5.138,75.2,0,0,0,17,17,24,17,0,0,0,Park,OFF,,,,,,,,,,,
5.388,75.2,0,0,0,17,17,24,17,0,0,0,Park,OFF,,,,,,,,,,,
5.638,75.2,0,0,0,17,17,24,17,0,0,0,Park,OFF,,,,,,,,,,,
5.888,75.2,0,0,0,17,17,24,17,0,0,0,Park,OFF,,,,,,,,,,,
6.138,75.2,0,0,0,17,17,24,17,0,0,0,Park,OFF,,,,,,,,,,,
6.388,75.2,0,0,0,17,17,24,17,0,0,0,Park,OFF,,,,,,,,,,,
6.638,75.2,0,0,0,17,17,24,17,0,0,0,Park,OFF,,,,,,,,,,,
6.888,75.2,0,0,0,17,17,24,17,0,0,0,Park,OFF,,,,,,,,,,,
7.138,75.2,0,0,0,17,17,24,17,0,0,0,Park,OFF,,,,,,,,,,,
7.388,75.2,0,0,0,17,17,24,17,0,0,0,Park,OFF,,,,,,,,,,,
7.638,75.2,0,0,0,17,17,24,17,0,0,0,Park,OFF,,,,,,,,,,,
7.888,75.2,0,0,0,17,17,24,17,0,0,0,Park,OFF,,,,,,,,,,,
8.138,75.2,0,0,0,17,17,24,17,0,0,0,Park,OFF,,,,,,,,,,,
8.388,75.2,0,0,0,17,17,24,17,0,0,0,Park,OFF,,,,,,,,,,,
8.638,75.2,0,0,0,17,17,24,17,0,0,0,Park,OFF,,,,,,,,,,,
8.888,75.2,0,0,0,17,17,24,17,0,0,0,Park,OFF,,,,,,,,,,,
9.138,75.2,0,0,0,17,17,24,17,0,0,0,Park,OFF,,,,,,,,,,,
9.388,75.2,0,0,0,17,17,24,17,0,0,0,Park,OFF,,,,,,,,,,,
9.638,75.2,0,0,0,17,17,24,17,0,0,0,Park,OFF,,,,,,,,,,,
9.888,75.2,0,0,0,17,17,24,17,0,0,0,Park,OFF,,,,,,,,,,,
10.138,75.2,0,0,0,17,17,24,17,0,0,0,Park,OFF,,,,,,,,,,,
10.388,75.2,0,0,0,17,17,24,17,0,0,0,Park,OFF,,,,,,,,,,,
10.638,75.2,0,0,0,17,17,24,17,0,0,0,Park,OFF,,,,,,,,,,,
10.888,75.2,0,0,0,17,17,24,17,0,0,0,Park,OFF,,,,,,,,,,,
